time;flappyHeight;flappyX;verticalSpeed;distToRoof;nearest_dx;nearest_y;passes;action
0.016636;49.972324;20.000000;0.000000;100.000000;9999.000000;0.000000;0;0
0.028616998;49.938038;20.000000;-1.663600;50.027676;79.334557;58.405323;0;0
0.040365998;49.890614;20.000000;-2.861700;50.061962;78.855316;58.405323;0;0
0.05147711;49.833416;20.000000;-4.036600;50.109386;78.385353;58.405323;0;0
0.06258822;49.763874;20.000000;-5.147711;50.166584;77.940910;58.405323;0;0
0.07369933;49.681988;20.000000;-6.258822;50.236126;77.496468;58.405323;0;0
0.08481044;49.587753;20.000000;-7.369934;50.318012;77.052025;58.405323;0;0
0.09405567;49.500797;20.000000;-8.481045;50.412247;76.607582;58.405323;0;0
0.10516678;49.383945;20.000000;-9.405567;50.499203;76.237770;58.405323;0;0
0.11041467;49.326000;20.000000;-10.516678;50.616055;75.793327;58.405323;0;0
0.12152578;49.190971;20.000000;-11.041467;50.674000;75.583412;58.405323;0;0
0.12714267;49.119556;20.000000;-12.152578;50.809029;75.138969;58.405323;0;0
0.13774873;48.973461;20.000000;-12.714268;50.880444;74.914291;58.405323;0;0
0.14341368;48.892220;20.000000;-13.774874;51.026539;74.490051;58.405323;0;0
0.15341368;48.738808;20.000000;-14.341368;51.107780;74.263451;58.405323;0;0
0.16000968;48.633266;20.000000;-15.341368;51.261192;73.863449;58.405323;0;0
0.16926894;48.476536;20.000000;-16.000967;51.366734;73.599609;58.405323;0;0
0.17757767;48.328991;20.000000;-16.926893;51.523464;73.229240;58.405323;0;0
0.18666859;48.159294;20.000000;-17.757767;51.671009;72.896889;58.405323;0;0
0.19440068;48.008984;20.000000;-18.666857;51.840706;72.533249;58.405323;0;0
0.20273402;47.840038;20.000000;-19.440065;51.991016;72.223969;58.405323;0;0
0.20986569;47.690369;20.000000;-20.273399;52.159962;71.890633;58.405323;0;0
0.2191667;47.486523;20.000000;-20.986567;52.309631;71.605370;58.405323;0;0
0.22750004;47.296940;20.000000;-21.916666;52.513477;71.233330;58.405323;0;0
0.23583338;47.100410;20.000000;-22.750000;52.703060;70.899994;58.405323;0;0
0.24416672;46.896938;20.000000;-23.583334;52.899590;70.566658;58.405323;0;0
0.25250006;46.686523;20.000000;-24.416668;53.103062;70.233322;58.405323;0;0
0.25960672;46.502029;20.000000;-25.250002;53.313477;69.899986;58.405323;0;0
0.2691667;46.244705;20.000000;-25.960669;53.497971;69.615723;58.405323;0;0
0.27750003;46.013454;20.000000;-26.916668;53.755295;69.233322;58.405323;0;0
0.28583336;45.775261;20.000000;-27.750002;53.986546;68.899986;58.405323;0;0
0.29323968;45.558079;20.000000;-28.583336;54.224739;68.566650;58.405323;0;0
0.3025;45.277954;20.000000;-29.323969;54.441921;68.270393;58.405323;0;0
0.31049967;45.029564;20.000000;-30.250002;54.722046;67.899979;58.405323;0;0
0.31916666;44.752941;20.000000;-31.049969;54.970436;67.579994;58.405323;0;0
0.32679665;44.503593;20.000000;-31.916668;55.247059;67.233315;58.405323;0;0
0.3358333;44.200111;20.000000;-32.679668;55.496407;66.928116;58.405323;0;0
0.34291765;43.957176;20.000000;-33.583336;55.799889;66.566650;58.405323;0;0
0.3525;43.619400;20.000000;-34.291771;56.042824;66.283279;58.405323;0;0
0.36031565;43.337788;20.000000;-35.250004;56.380600;65.899986;58.405323;0;0
0.36916664;43.011040;20.000000;-36.031570;56.662212;65.587357;58.405323;0;0
0.37747765;42.697319;20.000000;-36.916672;56.988960;65.233315;58.405323;0;0
0.38583332;42.374931;20.000000;-37.747772;57.302681;64.900871;58.405323;0;0
0.39320466;42.085087;20.000000;-38.583340;57.625069;64.566643;58.405323;0;0
0.4025;41.710949;20.000000;-39.320473;57.914913;64.271790;58.405323;0;0
0.40967867;41.416855;20.000000;-40.250008;58.289051;63.899979;58.405323;0;0
0.41916665;41.019150;20.000000;-40.967873;58.583145;63.612831;58.405323;0;0
0.42701465;40.684029;20.000000;-41.916672;58.980850;63.233315;58.405323;0;0
0.4358333;40.299683;20.000000;-42.701473;59.315971;62.919395;58.405323;0;0
0.44356364;39.956795;20.000000;-43.583340;59.700317;62.566650;58.405323;0;0
0.4525;39.552425;20.000000;-44.356373;60.043205;62.257439;58.405323;0;0
0.4608333;39.168396;20.000000;-45.250008;60.447575;61.899986;58.405323;0;0
0.46840906;38.813541;20.000000;-46.083340;60.831604;61.566650;58.405323;0;0
0.4759848;38.452946;20.000000;-46.840916;61.186459;61.263618;58.405323;0;0
0.48356056;38.086613;20.000000;-47.598492;61.547054;60.960587;58.405323;0;0
0.4911363;37.714539;20.000000;-48.356068;61.913387;60.657555;58.405323;0;0
0.49871206;37.336727;20.000000;-49.113644;62.285461;60.354523;58.405323;0;0
0.5070454;36.914188;20.000000;-49.871220;62.663273;60.051491;58.405323;0;0
0.51462114;36.524323;20.000000;-50.704552;63.085812;59.718155;58.405323;0;0
0.52295446;36.088528;20.000000;-51.462128;63.475677;59.415123;58.405323;0;0
0.5305302;35.686611;20.000000;-52.295460;63.911472;59.081787;58.405323;0;0
0.53886354;35.237556;20.000000;-53.053036;64.313385;58.778755;58.405323;0;0
0.5464393;34.823586;20.000000;-53.886368;64.762444;58.445419;58.405323;0;0
0.5547726;34.361275;20.000000;-54.643944;65.176414;58.142387;58.405323;0;0
0.56234837;33.935253;20.000000;-55.477276;65.638725;57.809052;58.405323;0;0
0.5706817;33.459686;20.000000;-56.234852;66.064743;57.506020;58.405323;0;0
0.57825744;33.021614;20.000000;-57.068184;66.540314;57.172684;58.405323;0;0
0.58659077;32.532787;20.000000;-57.825760;66.978386;56.869652;58.405323;0;0
0.5941665;32.082661;20.000000;-58.659092;67.467209;56.536316;58.405323;0;0
0.60249984;31.580578;20.000000;-59.416668;67.917343;56.233284;58.405323;0;0
0.6106372;31.083681;20.000000;-60.250000;68.419418;55.899948;58.405323;0;0
0.6191665;30.555573;20.000000;-61.063732;68.916321;55.574455;58.405323;0;0
0.6274998;30.032656;20.000000;-61.916664;69.444427;55.233284;58.405323;0;0
0.63583314;29.502794;20.000000;-62.749996;69.967346;54.899948;58.405323;0;0
0.64416647;28.965988;20.000000;-63.583328;70.497208;54.566612;58.405323;0;0
0.6524998;28.422237;20.000000;-64.416664;71.034012;54.233276;58.405323;0;0
0.6608331;27.871544;20.000000;-65.250000;71.577759;53.899940;58.405323;0;0
0.66916645;27.313906;20.000000;-66.083336;72.128456;53.566605;58.405323;0;0
0.6774998;26.749323;20.000000;-66.916672;72.686096;53.233269;58.405323;0;0
0.6858331;26.177795;20.000000;-67.750008;73.250679;52.899933;58.405323;0;0
0.6941664;25.599323;20.000000;-68.583344;73.822205;52.566597;58.405323;0;0
0.70249975;25.013906;20.000000;-69.416679;74.400681;52.233261;58.405323;0;0
0.7103981;24.452810;20.000000;-70.250015;74.986092;51.899925;58.405323;0;0
0.7191664;23.822222;20.000000;-71.039848;75.547188;51.583992;58.405323;0;0
0.72725606;23.233896;20.000000;-71.916679;76.177780;51.233261;58.405323;0;0
0.7366737;23.695910;20.000000;-72.725647;76.766106;50.909676;58.405323;0;1
0.74500704;24.097784;20.000000;49.058235;76.304092;50.532967;58.405323;0;0
0.75334036;24.492714;20.000000;48.224903;75.902214;50.199631;58.405323;0;0
0.7609161;24.846003;20.000000;47.391571;75.507286;49.866295;58.405323;0;0
0.76924944;25.227674;20.000000;46.633995;75.153999;49.563263;58.405323;0;0
0.777062;25.579391;20.000000;45.800663;74.772324;49.229927;58.405323;0;0
0.785833;25.966564;20.000000;45.019405;74.420609;48.917427;58.405323;0;0
0.79340875;26.295237;20.000000;44.142303;74.033432;48.566589;58.405323;0;0
0.80249965;26.681379;20.000000;43.384727;73.704765;48.263557;58.405323;0;0
0.8100754;26.997425;20.000000;42.475636;73.318619;47.899918;58.405323;0;0
0.8191663;27.368416;20.000000;41.718060;73.002579;47.596886;58.405323;0;0
0.82674205;27.671835;20.000000;40.808968;72.631584;47.233246;58.405323;0;0
0.83583295;28.027674;20.000000;40.051392;72.328163;46.930214;58.405323;0;0
0.8434087;28.318466;20.000000;39.142300;71.972328;46.566574;58.405323;0;0
0.8524996;28.659153;20.000000;38.384724;71.681534;46.263542;58.405323;0;0
0.8608329;28.964506;20.000000;37.475632;71.340851;45.899902;58.405323;0;0
0.86916625;29.262915;20.000000;36.642300;71.035492;45.566566;58.405323;0;0
0.876742;29.528456;20.000000;35.808968;70.737083;45.233231;58.405323;0;0
0.8858329;29.838840;20.000000;35.051392;70.471542;44.930199;58.405323;0;0
0.8938399;30.105806;20.000000;34.142300;70.161163;44.566559;58.405323;0;0
0.90249956;30.387035;20.000000;33.341599;69.894196;44.246277;58.405323;0;0
0.9102179;30.631737;20.000000;32.475632;69.612961;43.899891;58.405323;0;0
0.9191662;30.907425;20.000000;31.703798;69.368263;43.591156;58.405323;0;0
0.9268719;31.138891;20.000000;30.808966;69.092575;43.233223;58.405323;0;0
0.9358329;31.400036;20.000000;30.038399;68.861107;42.924995;58.405323;0;0
0.9438099;31.626141;20.000000;29.142300;68.599960;42.566555;58.405323;0;0
0.95249957;31.864895;20.000000;28.344599;68.373856;42.247475;58.405323;0;0
0.9601009;32.067966;20.000000;27.475632;68.135101;41.899887;58.405323;0;0
0.9691662;32.301933;20.000000;26.715498;67.932037;41.595833;58.405323;0;0
0.97749954;32.510063;20.000000;25.808964;67.698067;41.233219;58.405323;0;0
0.98583287;32.711250;20.000000;24.975630;67.489937;40.899887;58.405323;0;0
0.9934086;32.888409;20.000000;24.142296;67.288750;40.566555;58.405323;0;0
1.0024996;33.092731;20.000000;23.384720;67.111588;40.263523;58.405323;0;0
1.0106189;33.268627;20.000000;22.475630;66.907272;39.899887;58.405323;0;0
1.0191662;33.446487;20.000000;21.663696;66.731369;39.575115;58.405323;0;0
1.0272568;33.608299;20.000000;20.808964;66.553513;39.233223;58.405323;0;0
1.0358329;33.772465;20.000000;19.999897;66.391701;38.909595;58.405323;0;0
1.0434086;33.911743;20.000000;19.142298;66.227539;38.566555;58.405323;0;0
1.0524995;34.070614;20.000000;18.384722;66.088257;38.263523;58.405323;0;0
1.0600753;34.197266;20.000000;17.475632;65.929382;37.899887;58.405323;0;0
1.0691662;34.340984;20.000000;16.718056;65.802734;37.596855;58.405323;0;0
1.0767419;34.455009;20.000000;15.808965;65.659012;37.233219;58.405323;0;0
1.0858328;34.583576;20.000000;15.051389;65.544991;36.930187;58.405323;0;0
1.0934086;34.684975;20.000000;14.142298;65.416428;36.566551;58.405323;0;0
1.1024995;34.798389;20.000000;13.384722;65.315025;36.263519;58.405323;0;0
1.1108328;35.208111;20.000000;12.475631;65.201614;35.899883;58.405323;0;1
1.1191661;35.610889;20.000000;49.166668;64.791885;35.566551;58.405323;0;0
1.1272328;35.994270;20.000000;48.333336;64.389114;35.233219;58.405323;0;0
1.1358328;36.395603;20.000000;47.526669;64.005730;34.910553;58.405323;0;0
1.1440238;36.771141;20.000000;46.666668;63.604397;34.566551;58.405323;0;0
1.1524994;37.152546;20.000000;45.847569;63.228859;34.238911;58.405323;0;0
1.1600752;37.487717;20.000000;45.000000;62.847454;33.899883;58.405323;0;0
