time;flappyHeight;flappyX;verticalSpeed;distToRoof;nearest_dx;nearest_y;passes;action
0.019774333;49.960899;20.000000;0.000000;100.000000;9999.000000;0.000000;0;0
0.033741333;49.913773;20.000000;-1.977433;50.039101;79.209030;58.405323;0;0
0.048220333;49.843956;20.000000;-3.374133;50.086227;78.650352;58.405323;0;0
0.059331443;49.778030;20.000000;-4.822033;50.156044;78.071190;58.405323;0;0
0.07044256;49.699760;20.000000;-5.933144;50.221970;77.626747;58.405323;0;0
0.08155367;49.609146;20.000000;-7.044255;50.300240;77.182304;58.405323;0;0
0.09266478;49.506184;20.000000;-8.155367;50.390854;76.737862;58.405323;0;0
0.1004;49.428520;20.000000;-9.266478;50.493816;76.293419;58.405323;0;0
0.11151111;49.304619;20.000000;-10.040000;50.571480;75.984009;58.405323;0;0
0.117454;49.234818;20.000000;-11.151112;50.695381;75.539566;58.405323;0;0
0.12856512;49.091969;20.000000;-11.745400;50.765182;75.301849;58.405323;0;0
0.134127;49.017368;20.000000;-12.856512;50.908031;74.857407;58.405323;0;0
0.14473307;48.863865;20.000000;-13.412701;50.982632;74.634933;58.405323;0;0
0.15099101;48.769375;20.000000;-14.473307;51.136135;74.210693;58.405323;0;0
0.16099101;48.608383;20.000000;-15.099100;51.230625;73.960373;58.405323;0;0
0.16730401;48.502766;20.000000;-16.099100;51.391617;73.560371;58.405323;0;0
0.17685501;48.333851;20.000000;-16.730400;51.497234;73.307854;58.405323;0;0
0.18404302;48.201561;20.000000;-17.685499;51.666149;72.925812;58.405323;0;0
0.1935217;48.018127;20.000000;-18.404299;51.798439;72.638290;58.405323;0;0
0.20050503;47.878109;20.000000;-19.352165;51.981873;72.259140;58.405323;0;0
0.21018836;47.674576;20.000000;-20.050499;52.121891;71.979805;58.405323;0;0
0.21718502;47.522617;20.000000;-21.018833;52.325424;71.592468;58.405323;0;0
0.22685502;47.303249;20.000000;-21.718500;52.477383;71.312599;58.405323;0;0
0.23313703;47.156792;20.000000;-22.685499;52.696751;70.925797;58.405323;0;0
0.24352169;46.903904;20.000000;-23.313700;52.843208;70.674515;58.405323;0;0
0.24922903;46.761662;20.000000;-24.352167;53.096096;70.259125;58.405323;0;0
0.26018837;46.476513;20.000000;-24.922901;53.238338;70.030830;58.405323;0;0
0.26669705;46.302929;20.000000;-26.018835;53.523487;69.592461;58.405323;0;0
