time,flappyHeight,flappyX,verticalSpeed,distToRoof,nearest_dx,nearest_y,action
0,052839335,49,720802,20,000000,0,000000,100,000000,9999,000000,0,000000,0
0,069506004,49,604958,20,000000,-5,283934,50,279198,77,886429,58,405323,0
0,06958188,49,604431,20,000000,-6,950601,50,395042,77,219765,58,405323,0
0,069637634,49,604042,20,000000,-6,958188,50,395569,77,216728,58,405323,0
0,06970351,49,603584,20,000000,-6,963763,50,395958,77,214500,58,405323,0
0,06978026,49,603050,20,000000,-6,970351,50,396416,77,211868,58,405323,0
0,06992651,49,602028,20,000000,-6,978026,50,396950,77,208801,58,405323,0
0,072704285,49,581833,20,000000,-6,992651,50,397972,77,202950,58,405323,0
0,07508524,49,563957,20,000000,-7,270429,50,418167,77,091835,58,405323,0
0,08617267,49,468414,20,000000,-7,508524,50,436043,76,996597,58,405323,0
0,091216005,49,422413,20,000000,-8,617268,50,531586,76,553101,58,405323,0
0,099448,49,340546,20,000000,-9,121601,50,577587,76,351364,58,405323,0
0,106859006,49,261353,20,000000,-9,944801,50,659454,76,022087,58,405323,0
0,11632801,49,151203,20,000000,-10,685902,50,738647,75,725647,58,405323,0
0,12446001,49,049992,20,000000,-11,632802,50,848797,75,346886,58,405323,0
0,13287202,48,938221,20,000000,-12,446002,50,950008,75,021606,58,405323,0
0,14120601,48,820541,20,000000,-13,287202,51,061779,74,685127,58,405323,0
0,14960802,48,694839,20,000000,-14,120602,51,179459,74,351768,58,405323,0
0,15799601,48,562313,20,000000,-14,960802,51,305161,74,015686,58,405323,0
0,16566001,48,435352,20,000000,-15,799603,51,437687,73,680168,58,405323,0
0,17469801,48,277462,20,000000,-16,566002,51,564648,73,373611,58,405323,0
0,18229501,48,138973,20,000000,-17,469803,51,722538,73,012093,58,405323,0
0,191319,47,966328,20,000000,-18,229504,51,861027,72,708214,58,405323,0
0,19965234,47,799950,20,000000,-19,131903,52,033672,72,347252,58,405323,0
0,20798568,47,626629,20,000000,-19,965237,52,200050,72,013916,58,405323,0
0,21636301,47,445374,20,000000,-20,798571,52,373371,71,680580,58,405323,0
0,22469635,47,258125,20,000000,-21,636305,52,554626,71,345490,58,405323,0
0,2330297,47,063934,20,000000,-22,469639,52,741875,71,012154,58,405323,0
0,24138603,46,862225,20,000000,-23,302973,52,936066,70,678818,58,405323,0
0,24971937,46,654125,20,000000,-24,138607,53,137775,70,344566,58,405323,0
0,2580527,46,439083,20,000000,-24,971941,53,345875,70,011230,58,405323,0
0,26638603,46,217094,20,000000,-25,805275,53,560917,69,677895,58,405323,0
0,27471936,45,988163,20,000000,-26,638609,53,782906,69,344559,58,405323,0
0,28305268,45,752285,20,000000,-27,471943,54,011837,69,011223,58,405323,0
0,291386,45,509464,20,000000,-28,305277,54,247715,68,677887,58,405323,0
0,29971933,45,259697,20,000000,-29,138611,54,490536,68,344551,58,405323,0
0,30805266,45,002987,20,000000,-29,971945,54,740303,68,011215,58,405323,0
0,31638598,44,739330,20,000000,-30,805279,54,997013,67,677879,58,405323,0
0,3247193,44,468731,20,000000,-31,638613,55,260670,67,344543,58,405323,0
0,33305264,44,191189,20,000000,-32,471947,55,531269,67,011208,58,405323,0
0,34138596,43,906700,20,000000,-33,305279,55,808811,66,677872,58,405323,0
0,3497193,44,316422,20,000000,-34,138611,56,093300,66,344536,58,405323,1
0,35810295,44,721588,20,000000,49,166668,55,683578,66,011200,58,405323,0
0,36643627,45,117378,20,000000,48,328300,55,278412,65,675850,58,405323,0
0,3747696,45,506226,20,000000,47,494968,54,882622,65,342514,58,405323,0
0,38311192,45,888535,20,000000,46,661636,54,493774,65,009178,58,405323,0
0,3914779,46,264927,20,000000,45,827404,54,111465,64,675484,58,405323,0
0,39981124,46,632904,20,000000,44,990803,53,735073,64,340843,58,405323,0
0,40814456,46,993938,20,000000,44,157471,53,367096,64,007507,58,405323,0
0,4164779,47,348030,20,000000,43,324139,53,006062,63,674171,58,405323,0
0,4248112,47,695175,20,000000,42,490807,52,651970,63,340836,58,405323,0
0,43314454,48,035378,20,000000,41,657475,52,304825,63,007500,58,405323,0
0,44147786,48,368633,20,000000,40,824142,51,964622,62,674164,58,405323,0
0,4498112,48,694946,20,000000,39,990810,51,631367,62,340828,58,405323,0
0,45814452,49,014313,20,000000,39,157478,51,305054,62,007492,58,405323,0
0,46647784,49,326736,20,000000,38,324146,50,985687,61,674156,58,405323,0
0,47481117,49,632214,20,000000,37,490814,50,673264,61,340820,58,405323,0
0,4831445,49,930748,20,000000,36,657482,50,367786,61,007484,58,405323,0
0,49147782,50,222340,20,000000,35,824150,50,069252,60,674149,58,405323,0
0,49981114,50,506985,20,000000,34,990818,49,777660,60,340813,58,405323,0
0,5081445,50,784687,20,000000,34,157486,49,493015,60,007477,58,405323,0
0,5164778,51,055443,20,000000,33,324154,49,215313,59,674141,58,405323,0
0,52484983,51,320446,20,000000,32,490822,48,944557,59,340805,58,405323,0
0,53318316,51,577282,20,000000,31,653622,48,679554,59,005928,58,405323,0
0,5415165,51,827175,20,000000,30,820288,48,422718,58,672592,58,405323,0
0,5498498,52,070122,20,000000,29,986954,48,172825,58,339256,58,405323,0
0,55818313,52,306126,20,000000,29,153620,47,929878,58,005920,58,405323,0
0,56651646,52,535183,20,000000,28,320286,47,693874,57,672585,58,405323,0
0,5748498,52,757298,20,000000,27,486952,47,464817,57,339249,58,405323,0
0,5831831,52,972466,20,000000,26,653618,47,242702,57,005913,58,405323,0
0,59151644,53,180691,20,000000,25,820284,47,027534,56,672577,58,405323,0
