time,flappyHeight,flappyX,verticalSpeed,distToRoof,nearest_dx,nearest_y,action
0.008333334,0.000000,0.000000,0.000000,1.000000,99.990000,0.000000,0
0.016666668,0.499931,0.200000,-0,004167.0,500069.0,796667.0,584053.0
0.025000002,0.499792,0.200000,-0,008333.0,500208.0,793333.0,584053.0
0.033333335,0.499583,0.200000,-0,012500.0,500417.0,790000.0,584053.0
0.041666668,0.499306,0.200000,-0,016667.0,500694.0,786667.0,584053.0
0.05,0.498958,0.200000,-0,020833.0,501042.0,783333.0,584053.0
0.058333334,0.498542,0.200000,-0,025000.0,501458.0,780000.0,584053.0
0.06666667,0.498056,0.200000,-0,029167.0,501944.0,776666.0,584053.0
0.075,0.497500,0.200000,-0,033333.0,502500.0,773333.0,584053.0
0.083333336,0.496875,0.200000,-0,037500.0,503125.0,770000.0,584053.0
0.09166667,0.496181,0.200000,-0,041667.0,503819.0,766666.0,584053.0
0.1,0.495417,0.200000,-0,045833.0,504583.0,763333.0,584053.0
0.108333334,0.494583,0.200000,-0,050000.0,505417.0,760000.0,584053.0
0.11666667,0.493681,0.200000,-0,054167.0,506319.0,756666.0,584053.0
0.125,0.492708,0.200000,-0,058333.0,507292.0,753333.0,584053.0
0.13333334,0.491667,0.200000,-0,062500.0,508333.0,750000.0,584053.0
0.14166668,0.490556,0.200000,-0,066667.0,509444.0,746666.0,584053.0
0.15000002,0.489375,0.200000,-0,070833.0,510625.0,743333.0,584053.0
0.15833336,0.488125,0.200000,-0,075000.0,511875.0,740000.0,584053.0
0.1666667,0.486806,0.200000,-0,079167.0,513194.0,736666.0,584053.0
0.17500004,0.485417,0.200000,-0,083333.0,514583.0,733333.0,584053.0
0.18333338,0.483958,0.200000,-0,087500.0,516042.0,729999.0,584053.0
0.19166672,0.482431,0.200000,-0,091667.0,517569.0,726666.0,584053.0
0.20000006,0.480833,0.200000,-0,095833.0,519167.0,723333.0,584053.0
0.2083334,0.479167,0.200000,-0,100000.0,520833.0,719999.0,584053.0
0.21666674,0.477431,0.200000,-0,104167.0,522569.0,716666.0,584053.0
0.22500008,0.475625,0.200000,-0,108333.0,524375.0,713333.0,584053.0
0.23333342,0.473750,0.200000,-0,112500.0,526250.0,709999.0,584053.0
0.24166676,0.471806,0.200000,-0,116667.0,528194.0,706666.0,584053.0
0.2500001,0.469792,0.200000,-0,120833.0,530208.0,703333.0,584053.0
0.2583334,0.467708,0.200000,-0,125000.0,532292.0,699999.0,584053.0
0.26666674,0.465556,0.200000,-0,129167.0,534444.0,696666.0,584053.0
0.27500007,0.463333,0.200000,-0,133333.0,536667.0,693333.0,584053.0
0.2833334,0.461042,0.200000,-0,137500.0,538958.0,689999.0,584053.0
0.29166672,0.458681,0.200000,-0,141667.0,541319.0,686666.0,584053.0
0.30000004,0.456250,0.200000,-0,145833.0,543750.0,683332.0,584053.0
0.30833337,0.453750,0.200000,-0,150000.0,546250.0,679999.0,584053.0
0.3166667,0.451181,0.200000,-0,154167.0,548819.0,676666.0,584053.0
0.32500002,0.448542,0.200000,-0,158333.0,551458.0,673332.0,584053.0
0.33333334,0.445833,0.200000,-0,162500.0,554167.0,669999.0,584053.0
0.34166667,0.443056,0.200000,-0,166667.0,556944.0,666666.0,584053.0
0.35,0.440208,0.200000,-0,170833.0,559792.0,663332.0,584053.0
0.35833332,0.437292,0.200000,-0,175000.0,562708.0,659999.0,584053.1
0.36666664,0.441389,0.200000,0.245833,0.558611,0.656666,0.584053,0
0.37499997,0.445417,0.200000,0.241667,0.554583,0.653332,0.584053,0
0.3833333,0.449375,0.200000,0.237500,0.550625,0.649999,0.584053,0
0.39166662,0.453264,0.200000,0.233333,0.546736,0.646665,0.584053,0
0.39999995,0.457083,0.200000,0.229167,0.542917,0.643332,0.584053,0
0.40833327,0.460833,0.200000,0.225000,0.539167,0.639999,0.584053,0
0.4166666,0.464514,0.200000,0.220833,0.535486,0.636665,0.584053,0
0.42499992,0.468125,0.200000,0.216667,0.531875,0.633332,0.584053,0
0.43333325,0.471667,0.200000,0.212500,0.528333,0.629999,0.584053,0
0.44166657,0.475139,0.200000,0.208333,0.524861,0.626665,0.584053,0
0.4499999,0.478542,0.200000,0.204167,0.521458,0.623332,0.584053,0
0.45833322,0.481875,0.200000,0.200000,0.518125,0.619999,0.584053,0
0.46666655,0.485139,0.200000,0.195833,0.514861,0.616665,0.584053,0
0.47499987,0.488333,0.200000,0.191667,0.511667,0.613332,0.584053,0
0.4833332,0.491458,0.200000,0.187500,0.508542,0.609999,0.584053,0
0.49166653,0.494514,0.200000,0.183333,0.505486,0.606665,0.584053,0
0.49999985,0.497500,0.200000,0.179167,0.502500,0.603332,0.584053,0
0.5083332,0.500417,0.200000,0.175000,0.499583,0.599998,0.584053,0
0.51666653,0.503264,0.200000,0.170833,0.496736,0.596665,0.584053,0
0.52499986,0.506042,0.200000,0.166667,0.493958,0.593332,0.584053,0
0.5333332,0.508750,0.200000,0.162500,0.491250,0.589998,0.584053,0
0.5416665,0.511389,0.200000,0.158333,0.488611,0.586665,0.584053,0
0.54999983,0.513958,0.200000,0.154167,0.486042,0.583332,0.584053,0
0.55833316,0.516458,0.200000,0.150000,0.483542,0.579998,0.584053,0
0.5666665,0.518889,0.200000,0.145833,0.481111,0.576665,0.584053,0
0.5749998,0.521250,0.200000,0.141667,0.478750,0.573332,0.584053,0
0.58333313,0.523542,0.200000,0.137500,0.476458,0.569998,0.584053,0
0.59166646,0.525764,0.200000,0.133333,0.474236,0.566665,0.584053,0
0.5999998,0.527917,0.200000,0.129167,0.472083,0.563332,0.584053,0
0.6083331,0.530000,0.200000,0.125000,0.470000,0.559998,0.584053,0
0.61666644,0.532014,0.200000,0.120833,0.467986,0.556665,0.584053,0
0.62499976,0.533958,0.200000,0.116667,0.466042,0.553331,0.584053,0
0.6333331,0.535833,0.200000,0.112500,0.464167,0.549998,0.584053,0
0.6416664,0.537639,0.200000,0.108333,0.462361,0.546665,0.584053,0
0.64999974,0.539375,0.200000,0.104167,0.460625,0.543331,0.584053,0
0.65833306,0.541042,0.200000,0.100000,0.458958,0.539998,0.584053,0
0.6666664,0.542639,0.200000,0.095833,0.457361,0.536665,0.584053,0
0.6749997,0.544167,0.200000,0.091667,0.455833,0.533331,0.584053,0
0.68333304,0.545625,0.200000,0.087500,0.454375,0.529998,0.584053,0
0.69166636,0.547014,0.200000,0.083333,0.452986,0.526665,0.584053,0
