time,flappyHeight,flappyX,verticalSpeed,distToRoof,nearest_dx,nearest_y,action
0.5915244,0.326748,0.200000,-0,291595.0,673252.0,566722.0,584053.1
0.59985775,0.330845,0.200000,0.245833,0.669155,0.563389,0.584053,0
0.6081911,0.334873,0.200000,0.241667,0.665127,0.560055,0.584053,0
0.6165244,0.338831,0.200000,0.237500,0.661169,0.556722,0.584053,0
0.6248577,0.342720,0.200000,0.233333,0.657280,0.553389,0.584053,0
0.63319105,0.346539,0.200000,0.229167,0.653461,0.550055,0.584053,0
0.6415244,0.350289,0.200000,0.225000,0.649711,0.546722,0.584053,0
0.6498577,0.353970,0.200000,0.220833,0.646030,0.543389,0.584053,0
0.658191,0.357581,0.200000,0.216667,0.642419,0.540055,0.584053,0
0.66652435,0.361123,0.200000,0.212500,0.638877,0.536722,0.584053,0
0.6748577,0.364595,0.200000,0.208333,0.635405,0.533389,0.584053,0
0.683191,0.367998,0.200000,0.204167,0.632002,0.530055,0.584053,0
0.6915243,0.371331,0.200000,0.200000,0.628669,0.526722,0.584053,0
0.69985765,0.374595,0.200000,0.195833,0.625405,0.523389,0.584053,0
0.7082177,0.377789,0.200000,0.191667,0.622211,0.520055,0.584053,0
0.716551,0.380924,0.200000,0.187487,0.619076,0.516711,0.584053,0
0.72488433,0.383979,0.200000,0.183320,0.616021,0.513378,0.584053,0
0.73321766,0.386965,0.200000,0.179153,0.613035,0.510044,0.584053,0
0.741551,0.389882,0.200000,0.174987,0.610118,0.506711,0.584053,0
0.7498843,0.392729,0.200000,0.170820,0.607271,0.503378,0.584053,0
0.75821763,0.395506,0.200000,0.166653,0.604494,0.500044,0.584053,0
0.76655096,0.398214,0.200000,0.162487,0.601786,0.496711,0.584053,0
0.7748843,0.400853,0.200000,0.158320,0.599147,0.493378,0.584053,0
0.7832176,0.403422,0.200000,0.154153,0.596578,0.490044,0.584053,0
0.79155093,0.405922,0.200000,0.149987,0.594078,0.486711,0.584053,0
0.79988426,0.408353,0.200000,0.145820,0.591647,0.483378,0.584053,0
0.8082176,0.410713,0.200000,0.141653,0.589287,0.480044,0.584053,0
0.8165509,0.413005,0.200000,0.137487,0.586995,0.476711,0.584053,0
0.82488424,0.415227,0.200000,0.133320,0.584773,0.473378,0.584053,0
0.83321756,0.417379,0.200000,0.129153,0.582621,0.470044,0.584053,0
0.8415509,0.419463,0.200000,0.124987,0.580537,0.466711,0.584053,0
0.8498842,0.421476,0.200000,0.120820,0.578524,0.463377,0.584053,0
0.85821754,0.423420,0.200000,0.116653,0.576580,0.460044,0.584053,0
0.86655086,0.425295,0.200000,0.112487,0.574705,0.456711,0.584053,0
0.8748842,0.427101,0.200000,0.108320,0.572899,0.453377,0.584053,0
0.8832175,0.428836,0.200000,0.104153,0.571164,0.450044,0.584053,0
